WD,WD.1,MinT,MaxT
585.9993471,583.6272161,26.26391671,5.255879291
592.6111156,563.9735011,1.241825486,9.53395406
604.1378694,589.5374188,-1.888544902,16.20498834
592.8739642,601.3056469,-11.42079601,7.175133427
584.622333,591.924113,12.96636303,2.020708927
598.2773804,587.94559,11.899714,-13.05707608
596.9807488,596.0120824,-6.358157947,19.21668103
602.0171372,597.016339,-4.885534938,27.2068886
574.0343536,600.3163532,-2.410426791,11.16727127
593.6321901,604.6426033,-1.653694419,-6.548292237
592.9037201,557.8294495,-1.384083005,13.43684515
597.4090524,589.1572824,9.003682228,-12.70485239
592.0477386,559.7031192,-1.550716628,12.0701547
599.1481309,595.4776747,3.938248583,8.03084116
585.1799135,659.94382,16.54463713,-6.423197196
588.5490313,592.1249978,-12.72791867,12.05293686
617.6547431,614.0024149,-12.60489371,-1.617015168
607.1703641,600.1582359,6.213631751,-37.70505348
579.5735873,598.1761561,3.863594785,18.00713124
572.8993146,592.8520377,-2.639528513,-4.842437903
592.6128679,596.5847868,0.663347066,-6.969167034
614.5728319,597.6702975,-2.300343934,-17.52832805
553.8902259,568.8201809,-21.84102546,-13.9758761
610.5122818,614.2902498,6.42032902,6.070161486
596.2502144,579.5669712,8.61901496,21.86341287
583.0225042,538.9411994,1.266081826,13.17953714
564.2643112,572.3007323,-22.13166405,7.704106753
565.2530664,568.8462832,-42.79643903,-2.836815082
561.3758746,565.2555318,-24.28859318,2.994685412
562.0437353,587.8930309,-13.05455722,8.935982488
580.2379952,577.0917097,-0.403711922,12.09708867
543.9559882,559.8410777,14.74947191,42.10514224
555.0850009,561.264953,-2.93557478,-2.80742249
493.818694,482.6501815,-2.664325507,22.93950628
475.1507175,489.5086254,2.498674026,8.805327662
497.604128,504.461324,3.728784241,-5.446620245
497.795632,522.2025007,14.72244464,10.46368258
569.6817126,546.2277383,4.110602621,-2.616331061
509.6987294,522.1530474,-6.800414669,3.956175937
546.6542005,546.3196811,0.505356077,11.67594547
518.2966398,516.8323007,9.463361203,7.636151366
541.4711278,538.3248362,-19.83501257,15.28400176
542.5181887,559.7336029,0.80599818,-2.876832207
541.5840202,527.4284406,-12.52555308,8.036958844
538.9993127,551.4547403,2.730524665,11.33614402
560.1498659,554.4269783,4.980466855,12.39789427
546.923029,544.7253703,7.163694364,13.02190932
542.2766635,537.3395619,6.821554367,9.584297968
558.1050313,586.451706,-4.843851969,1.278519606
574.8290382,546.6944963,4.070883522,12.54633232
564.4483779,570.6960299,2.249090642,-3.143961904
563.874671,576.5833608,-2.028787834,8.022525382
611.6873513,571.3788031,-7.76534752,0.447689728
588.742784,566.2006613,-1.606312192,29.1725234
592.7408703,583.2618281,34.08229499,34.97469914
567.8090357,556.1788124,1.846963217,5.863493467
560.3677113,572.749393,14.82279896,24.96031844
583.8751696,575.8882475,-10.9729331,21.58693517
513.737656,560.626496,35.1223245,-2.15626631
535.1607359,547.6575336,-13.88504351,6.697010046
561.5432228,573.9600033,-10.082772,8.724113917
558.8758307,567.4069705,20.34130851,6.88191802
564.52037,560.9663045,-24.58001076,8.466408277
563.1928824,578.7743078,-0.923950822,6.684441724
512.576467,538.6270233,-1.147862099,6.500352463
569.1633442,579.6326345,3.909288716,18.62594793
567.2027224,576.7228025,14.31053411,15.02584054
581.6733565,587.2371327,8.99882444,1.39714543
576.8505702,553.3726799,-26.79234961,10.57291463
586.3792277,601.8817438,26.093914,-7.97938035
585.581514,582.5421367,-23.1112145,12.60132218
569.2862098,572.7307126,42.58505801,-3.111697984
554.7498589,550.496151,8.033781513,3.001437216
553.1426512,558.0884758,2.84230866,11.1582612
583.5963076,551.5289905,-15.82747453,23.8365263
567.8888307,593.3311737,6.66836259,7.581228441
555.7697971,598.1377509,8.210853293,6.203291746
568.6292008,567.7345192,13.84841966,2.664263731
553.6803294,573.8779007,-13.56753366,16.52704859
541.638791,548.67269,17.16437878,4.51691007
555.1441451,555.497307,3.112092447,11.6509862
574.1858453,570.2290925,-1.419570559,25.97482657
586.4379813,600.6414942,14.76273836,13.66563763
592.796705,580.3559467,8.506648932,14.20371682
571.6840603,553.3588406,19.13445531,38.44895586
558.0223309,572.1524672,17.55156478,14.9158921
